SA7036i
1.000043 0.000583
0.994154 0.001287
0.983417 0.002884
0.970771 0.004997
0.957102 0.007444
0.942912 0.010099
0.928462 0.012880
0.913856 0.015722
0.899227 0.018576
0.884626 0.021401
0.870043 0.024185
0.855497 0.026919
0.840963 0.029591
0.826439 0.032205
0.811921 0.034749
0.797388 0.037232
0.782848 0.039650
0.768300 0.042003
0.753744 0.044290
0.739176 0.046513
0.724599 0.048670
0.710008 0.050763
0.695410 0.052792
0.680802 0.054756
0.666184 0.056657
0.651558 0.058493
0.636922 0.060265
0.622281 0.061973
0.607628 0.063618
0.592975 0.065199
0.578317 0.066713
0.563650 0.068164
0.548989 0.069547
0.534327 0.070861
0.519669 0.072104
0.505011 0.073275
0.490360 0.074371
0.475718 0.075387
0.461078 0.076324
0.446454 0.077176
0.431837 0.077940
0.417230 0.078613
0.402634 0.079191
0.388053 0.079672
0.373494 0.080049
0.358945 0.080319
0.344418 0.080478
0.329913 0.080520
0.315427 0.080441
0.300968 0.080237
0.286536 0.079901
0.272140 0.079430
0.257783 0.078813
0.243468 0.078048
0.229212 0.077124
0.215021 0.076031
0.200901 0.074759
0.186875 0.073299
0.172953 0.071633
0.159158 0.069751
0.145515 0.067633
0.132049 0.065262
0.118794 0.062617
0.105781 0.059677
0.093056 0.056424
0.080677 0.052839
0.068727 0.048917
0.057327 0.044664
0.046650 0.040120
0.036937 0.035382
0.028459 0.030622
0.021418 0.026069
0.015844 0.021920
0.011558 0.018251
0.008292 0.015041
0.005805 0.012220
0.003908 0.009710
0.002469 0.007447
0.001401 0.005380
0.000648 0.003476
0.000176 0.001703
0.000000 0.000063
0.000187 -0.001538
0.000891 -0.003130
0.002076 -0.004623
0.003703 -0.006008
0.005754 -0.007357
0.008289 -0.008722
0.011447 -0.010151
0.015449 -0.011692
0.020635 -0.013395
0.027430 -0.015288
0.036188 -0.017343
0.046868 -0.019438
0.058993 -0.021420
0.072008 -0.023198
0.085539 -0.024744
0.099397 -0.026074
0.113461 -0.027212
0.127663 -0.028173
0.141977 -0.028978
0.156368 -0.029641
0.170823 -0.030172
0.185337 -0.030585
0.199895 -0.030889
0.214493 -0.031093
0.229129 -0.031204
0.243791 -0.031231
0.258480 -0.031177
0.273199 -0.031051
0.287932 -0.030857
0.302682 -0.030599
0.317456 -0.030280
0.332245 -0.029909
0.347043 -0.029485
0.361859 -0.029015
0.376680 -0.028500
0.391514 -0.027942
0.406363 -0.027345
0.421218 -0.026713
0.436084 -0.026048
0.450957 -0.025352
0.465838 -0.024626
0.480733 -0.023875
0.495631 -0.023101
0.510538 -0.022303
0.525459 -0.021488
0.540380 -0.020657
0.555313 -0.019809
0.570256 -0.018949
0.585203 -0.018079
0.600156 -0.017200
0.615119 -0.016313
0.630092 -0.015422
0.645066 -0.014530
0.660036 -0.013637
0.675001 -0.012747
0.689961 -0.011863
0.704910 -0.010987
0.719855 -0.010121
0.734799 -0.009265
0.749722 -0.008421
0.764618 -0.007598
0.779499 -0.006802
0.794394 -0.006033
0.809282 -0.005284
0.824145 -0.004566
0.838998 -0.003882
0.853846 -0.003234
0.868693 -0.002623
0.883539 -0.002048
0.898369 -0.001509
0.913139 -0.001015
0.927819 -0.000586
0.942377 -0.000240
0.956684 0.000000
0.970463 0.000094
0.983197 0.000012
0.994030 -0.000268
0.999957 -0.000583
